[1705928955.432371] Voltage: 4.98V, Current: 392.10mA, Power: 1954.36mW
[1705928955.4816694] Voltage: 4.98V, Current: 412.50mA, Power: 2054.41mW
[1705928955.5307035] Voltage: 4.99V, Current: 390.20mA, Power: 1946.04mW
[1705928955.5838914] Voltage: 4.99V, Current: 387.40mA, Power: 1933.16mW
[1705928955.6330383] Voltage: 4.99V, Current: 387.10mA, Power: 1930.41mW
[1705928955.6822143] Voltage: 4.98V, Current: 396.80mA, Power: 1976.68mW
[1705928955.7312934] Voltage: 4.97V, Current: 417.70mA, Power: 2075.08mW
[1705928955.7805068] Voltage: 4.99V, Current: 457.50mA, Power: 2280.88mW
[1705928955.8337162] Voltage: 4.98V, Current: 389.30mA, Power: 1939.82mW
[1705928955.8827631] Voltage: 4.99V, Current: 396.60mA, Power: 1977.51mW
[1705928955.932056] Voltage: 4.99V, Current: 381.70mA, Power: 1903.49mW
[1705928955.9812407] Voltage: 4.98V, Current: 411.30mA, Power: 2048.81mW
[1705928956.0303514] Voltage: 4.98V, Current: 399.80mA, Power: 1992.26mW
[1705928956.0836825] Voltage: 4.98V, Current: 422.30mA, Power: 2104.73mW
[1705928956.132695] Voltage: 4.99V, Current: 391.70mA, Power: 1953.18mW
[1705928956.1819236] Voltage: 4.98V, Current: 398.00mA, Power: 1983.54mW
[1705928956.2309887] Voltage: 4.98V, Current: 390.70mA, Power: 1946.45mW
[1705928956.2843788] Voltage: 4.98V, Current: 406.70mA, Power: 2026.31mW
[1705928956.333393] Voltage: 4.99V, Current: 394.20mA, Power: 1965.74mW
[1705928956.3826396] Voltage: 4.99V, Current: 385.50mA, Power: 1922.55mW
[1705928956.4317405] Voltage: 4.99V, Current: 420.10mA, Power: 2095.32mW
[1705928956.4810143] Voltage: 4.97V, Current: 398.70mA, Power: 1982.99mW
[1705928956.5343032] Voltage: 4.99V, Current: 385.40mA, Power: 1921.91mW
[1705928956.5839403] Voltage: 4.98V, Current: 387.60mA, Power: 1928.40mW
[1705928956.632698] Voltage: 4.98V, Current: 390.80mA, Power: 1947.25mW
[1705928956.6818054] Voltage: 4.98V, Current: 394.80mA, Power: 1966.01mW
[1705928956.7309935] Voltage: 4.98V, Current: 388.60mA, Power: 1936.58mW
[1705928956.784185] Voltage: 4.98V, Current: 401.20mA, Power: 1999.53mW
[1705928956.8333404] Voltage: 4.98V, Current: 375.60mA, Power: 1872.22mW
[1705928956.882443] Voltage: 4.98V, Current: 384.10mA, Power: 1914.05mW
[1705928956.9317389] Voltage: 4.98V, Current: 381.10mA, Power: 1898.92mW
[1705928956.9847775] Voltage: 4.99V, Current: 381.90mA, Power: 1904.23mW
[1705928957.0340443] Voltage: 4.99V, Current: 378.20mA, Power: 1885.93mW
[1705928957.083232] Voltage: 4.98V, Current: 433.90mA, Power: 2158.73mW
[1705928957.1324654] Voltage: 4.99V, Current: 393.10mA, Power: 1960.41mW
[1705928957.1819117] Voltage: 4.97V, Current: 388.40mA, Power: 1932.20mW
[1705928957.2348647] Voltage: 4.99V, Current: 375.90mA, Power: 1874.49mW
[1705928957.2839873] Voltage: 4.98V, Current: 386.30mA, Power: 1925.00mW
[1705928957.3336692] Voltage: 4.99V, Current: 391.00mA, Power: 1949.91mW
[1705928957.3819816] Voltage: 4.99V, Current: 426.80mA, Power: 2129.63mW
[1705928957.4314165] Voltage: 4.99V, Current: 388.00mA, Power: 1935.13mW
[1705928957.4849334] Voltage: 4.98V, Current: 383.00mA, Power: 1907.29mW
[1705928957.5342247] Voltage: 4.98V, Current: 380.70mA, Power: 1896.48mW
[1705928957.5829055] Voltage: 4.99V, Current: 385.40mA, Power: 1921.77mW
[1705928957.6326222] Voltage: 4.99V, Current: 386.40mA, Power: 1926.88mW
[1705928957.6853256] Voltage: 4.98V, Current: 379.30mA, Power: 1890.23mW
[1705928957.7344534] Voltage: 4.98V, Current: 381.20mA, Power: 1899.60mW
[1705928957.7834816] Voltage: 4.99V, Current: 429.20mA, Power: 2141.53mW
[1705928957.8326457] Voltage: 4.98V, Current: 384.60mA, Power: 1916.05mW
[1705928957.8820539] Voltage: 4.99V, Current: 384.10mA, Power: 1915.87mW
[1705928957.935662] Voltage: 4.98V, Current: 391.60mA, Power: 1951.32mW
[1705928957.9842467] Voltage: 4.99V, Current: 392.60mA, Power: 1958.21mW
[1705928958.0335646] Voltage: 4.99V, Current: 392.90mA, Power: 1959.58mW
[1705928958.0826046] Voltage: 4.98V, Current: 388.30mA, Power: 1935.29mW
[1705928958.1322396] Voltage: 4.99V, Current: 385.80mA, Power: 1923.82mW
[1705928958.185298] Voltage: 4.99V, Current: 387.30mA, Power: 1931.20mW
[1705928958.2342443] Voltage: 4.99V, Current: 386.20mA, Power: 1926.15mW
[1705928958.2832813] Voltage: 4.99V, Current: 384.90mA, Power: 1919.52mW
[1705928958.33298] Voltage: 4.99V, Current: 387.90mA, Power: 1934.54mW
[1705928958.3855646] Voltage: 4.98V, Current: 394.90mA, Power: 1967.77mW
[1705928958.4347632] Voltage: 4.98V, Current: 413.70mA, Power: 2061.39mW
[1705928958.484328] Voltage: 4.99V, Current: 388.00mA, Power: 1935.11mW
[1705928958.5333037] Voltage: 4.98V, Current: 394.70mA, Power: 1964.99mW
[1705928958.582991] Voltage: 4.98V, Current: 395.00mA, Power: 1968.53mW
[1705928958.635531] Voltage: 4.99V, Current: 405.50mA, Power: 2022.19mW
[1705928958.684851] Voltage: 4.99V, Current: 394.30mA, Power: 1966.44mW
[1705928958.733936] Voltage: 4.99V, Current: 380.60mA, Power: 1898.49mW
[1705928958.7831373] Voltage: 4.98V, Current: 401.50mA, Power: 2000.96mW
[1705928958.8325694] Voltage: 4.99V, Current: 453.20mA, Power: 2259.78mW
[1705928958.8855045] Voltage: 4.99V, Current: 403.70mA, Power: 2014.79mW
[1705928958.9347053] Voltage: 4.99V, Current: 391.00mA, Power: 1950.01mW
[1705928958.9837391] Voltage: 4.99V, Current: 381.50mA, Power: 1902.96mW
[1705928959.032821] Voltage: 4.99V, Current: 405.30mA, Power: 2021.03mW
[1705928959.0820136] Voltage: 4.99V, Current: 444.30mA, Power: 2215.40mW
[1705928959.1353567] Voltage: 4.99V, Current: 477.50mA, Power: 2383.33mW
[1705928959.1845922] Voltage: 4.97V, Current: 399.30mA, Power: 1985.77mW
[1705928959.2334242] Voltage: 4.98V, Current: 402.10mA, Power: 2002.46mW
[1705928959.2828805] Voltage: 4.98V, Current: 403.60mA, Power: 2009.93mW
[1705928959.336126] Voltage: 4.98V, Current: 418.70mA, Power: 2086.63mW
[1705928959.385152] Voltage: 4.98V, Current: 392.60mA, Power: 1955.19mW
[1705928959.4345446] Voltage: 4.98V, Current: 402.00mA, Power: 2003.07mW
[1705928959.4834952] Voltage: 4.98V, Current: 381.90mA, Power: 1902.82mW
[1705928959.5328074] Voltage: 4.98V, Current: 386.90mA, Power: 1927.73mW
[1705928959.5857742] Voltage: 4.99V, Current: 379.50mA, Power: 1892.28mW
[1705928959.634955] Voltage: 4.98V, Current: 395.00mA, Power: 1968.15mW
[1705928959.684205] Voltage: 4.98V, Current: 385.20mA, Power: 1917.91mW
[1705928959.7334242] Voltage: 4.98V, Current: 397.00mA, Power: 1978.18mW
[1705928959.7824233] Voltage: 4.98V, Current: 410.10mA, Power: 2043.16mW
[1705928959.8356087] Voltage: 4.98V, Current: 445.60mA, Power: 2218.53mW
[1705928959.8848445] Voltage: 4.97V, Current: 392.30mA, Power: 1950.38mW
[1705928959.9340346] Voltage: 4.98V, Current: 396.60mA, Power: 1974.84mW
[1705928959.983233] Voltage: 4.98V, Current: 400.00mA, Power: 1993.51mW
[1705928960.0363743] Voltage: 4.98V, Current: 395.90mA, Power: 1971.34mW
[1705928960.0856962] Voltage: 4.98V, Current: 386.40mA, Power: 1923.83mW
[1705928960.1347327] Voltage: 4.99V, Current: 383.80mA, Power: 1914.04mW
[1705928960.1839726] Voltage: 4.98V, Current: 388.30mA, Power: 1935.42mW
[1705928960.2329412] Voltage: 4.98V, Current: 391.10mA, Power: 1948.81mW
[1705928960.286622] Voltage: 4.99V, Current: 382.80mA, Power: 1910.43mW
[1705928960.3355274] Voltage: 4.98V, Current: 398.60mA, Power: 1986.21mW
[1705928960.3846514] Voltage: 4.98V, Current: 382.20mA, Power: 1904.73mW
[1705928960.4338078] Voltage: 4.98V, Current: 388.40mA, Power: 1935.47mW
[1705928960.4828467] Voltage: 4.99V, Current: 437.60mA, Power: 2182.59mW
[1705928960.5366178] Voltage: 4.98V, Current: 393.60mA, Power: 1959.80mW
[1705928960.585409] Voltage: 4.98V, Current: 400.60mA, Power: 1996.54mW
[1705928960.6350865] Voltage: 4.98V, Current: 398.00mA, Power: 1982.44mW
[1705928960.6837292] Voltage: 4.98V, Current: 390.60mA, Power: 1945.29mW
[1705928960.7369058] Voltage: 4.99V, Current: 391.30mA, Power: 1951.60mW
[1705928960.7858863] Voltage: 4.99V, Current: 388.00mA, Power: 1934.84mW
[1705928960.8351562] Voltage: 4.99V, Current: 388.30mA, Power: 1936.90mW
[1705928960.8844812] Voltage: 4.98V, Current: 383.40mA, Power: 1910.69mW
[1705928960.933581] Voltage: 4.99V, Current: 382.20mA, Power: 1906.80mW
[1705928960.986874] Voltage: 4.99V, Current: 385.60mA, Power: 1922.91mW
[1705928961.036053] Voltage: 4.99V, Current: 384.00mA, Power: 1915.71mW
[1705928961.0857909] Voltage: 4.98V, Current: 387.30mA, Power: 1930.22mW
[1705928961.1349494] Voltage: 4.98V, Current: 411.00mA, Power: 2048.33mW
[1705928961.183415] Voltage: 4.98V, Current: 422.90mA, Power: 2107.45mW
[1705928961.236687] Voltage: 4.98V, Current: 401.00mA, Power: 1997.16mW
