[1706438446.6663828] starting program
[1706438446.7142067] Ok
[1706439082.1406598] Little Frequency: 667000, Big Frequency: 667000, GPU On: 1, pp1:1, pp2:5, order:B-G-L, s1_input:0.002328, s1_inference:35.740101, s2_input:0.661249, s2_inference:47.455399, s3_input:0.047724, s3_inference:221.281006, fps:4.518170,
[1706439104.9933834] Little Frequency: 1200000, Big Frequency: 1704000, GPU On: 1, pp1:2, pp2:4, order:B-G-L, s1_input:0.001391, s1_inference:37.950600, s2_input:14.056500, s2_inference:23.305500, s3_input:0.165335, s3_inference:158.048004, fps:6.320590,
[1706439119.821377] Little Frequency: 1608000, Big Frequency: 1908000, GPU On: 1, pp1:1, pp2:6, order:B-G-L, s1_input:0.001542, s1_inference:15.319300, s2_input:0.498671, s2_inference:75.745399, s3_input:26.360500, s3_inference:48.078201, fps:13.115800,
[1706439135.6041214] Little Frequency: 667000, Big Frequency: 1800000, GPU On: 1, pp1:1, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001704, s1_inference:16.338800, s2_input:0.494422, s2_inference:88.698700, fps:11.211600,
[1706439152.423787] Little Frequency: 1608000, Big Frequency: 1000000, GPU On: 0, pp1:3, pp2:3, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.001713, s1_inference:63.302502, s3_input:0.161174, s3_inference:150.612000, fps:6.632470,
[1706439166.6613333] Little Frequency: 1608000, Big Frequency: 1398000, GPU On: 1, pp1:2, pp2:7, order:B-G-L, s1_input:0.001485, s1_inference:48.834801, s2_input:0.434864, s2_inference:71.644600, s3_input:57.332901, s3_inference:12.440200, fps:13.873600,
[1706439187.8007333] Little Frequency: 1704000, Big Frequency: 1200000, GPU On: 1, pp1:2, pp2:3, order:B-G-L, s1_input:0.001534, s1_inference:46.607498, s2_input:24.466600, s2_inference:21.444099, s3_input:0.154692, s3_inference:147.207001, fps:6.786030,
[1706439210.5733054] Little Frequency: 1704000, Big Frequency: 667000, GPU On: 1, pp1:4, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001528, s1_inference:119.936996, s2_input:45.139301, s2_inference:73.924103, fps:8.337580,
[1706439239.8805938] Little Frequency: 667000, Big Frequency: 1512000, GPU On: 0, pp1:4, pp2:4, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.001417, s1_inference:52.288300, s3_input:0.235738, s3_inference:262.888000, fps:3.800490,
[1706439259.3132284] Little Frequency: 1398000, Big Frequency: 1800000, GPU On: 1, pp1:3, pp2:5, order:B-G-L, s1_input:0.001249, s1_inference:41.564201, s2_input:15.625100, s2_inference:25.212700, s3_input:0.029940, s3_inference:118.084000, fps:8.466430,
[1706439283.9131482] Little Frequency: 500000, Big Frequency: 500000, GPU On: 1, pp1:5, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001988, s1_inference:175.542007, s2_input:107.169998, s2_inference:67.072403, fps:5.696590,
[1706439294.45691] Little Frequency: 667000, Big Frequency: 1608000, GPU On: 1, pp1:5, pp2:7, order:B-G-L, s1_input:0.001191, s1_inference:66.949699, s2_input:7.885780, s2_inference:58.610401, s3_input:48.099300, s3_inference:16.811399, fps:14.936300,
[1706439332.357565] Little Frequency: 1398000, Big Frequency: 500000, GPU On: 1, pp1:1, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.002601, s1_inference:52.807499, s2_input:0.857959, s2_inference:94.515999, fps:10.485000,
[1706439355.7606475] Little Frequency: 1704000, Big Frequency: 1000000, GPU On: 0, pp1:1, pp2:1, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.001553, s1_inference:21.678900, s3_input:0.158437, s3_inference:258.601013, fps:3.864590,
[1706439368.788966] Little Frequency: 1398000, Big Frequency: 1512000, GPU On: 1, pp1:3, pp2:6, order:B-G-L, s1_input:0.001659, s1_inference:51.773499, s2_input:0.429258, s2_inference:58.120499, s3_input:0.183823, s3_inference:59.198200, fps:16.840099,
[1706439385.8406558] Little Frequency: 1200000, Big Frequency: 667000, GPU On: 1, pp1:5, pp2:7, order:B-G-L, s1_input:0.001642, s1_inference:129.490997, s2_input:62.314899, s2_inference:66.449097, s3_input:116.448997, s3_inference:10.711300, fps:7.722440,
[1706439398.8649864] Little Frequency: 1200000, Big Frequency: 1908000, GPU On: 1, pp1:2, pp2:6, order:B-G-L, s1_input:0.001342, s1_inference:37.056801, s2_input:0.286672, s2_inference:64.536102, s3_input:3.782890, s3_inference:59.576302, fps:15.426700,
[1706439436.9489295] Little Frequency: 1608000, Big Frequency: 500000, GPU On: 1, pp1:1, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.003363, s1_inference:53.026798, s2_input:0.892266, s2_inference:94.748497, fps:10.455800,
[1706439476.3805993] Little Frequency: 500000, Big Frequency: 1908000, GPU On: 1, pp1:2, pp2:5, order:B-G-L, s1_input:0.001377, s1_inference:37.353600, s2_input:7.380100, s2_inference:29.651800, s3_input:0.045649, s3_inference:284.811005, fps:3.510530,
[1706439522.148681] Little Frequency: 1000000, Big Frequency: 500000, GPU On: 0, pp1:8, pp2:8, order:B-G-L, s2_input:0.000000, s3_inference:0.000000, s2_inference:0.000000, s1_input:0.001538, s1_inference:481.335999, fps:2.077550,
[1706439534.7806447] Little Frequency: 1608000, Big Frequency: 1000000, GPU On: 1, pp1:5, pp2:7, order:B-G-L, s1_input:0.001344, s1_inference:88.028198, s2_input:20.063801, s2_inference:67.574799, s3_input:75.186996, s3_inference:10.810800, fps:11.359800,
[1706439545.184535] Little Frequency: 1800000, Big Frequency: 1608000, GPU On: 1, pp1:5, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001133, s1_inference:66.176903, s2_input:4.444160, s2_inference:61.315701, fps:15.110800,
